#{"t_start": 1774563021.1454914, "env_id": "None"}
r,l,t
2804.992926,226,4255.196425
4070.036119,300,4291.931214
2807.430836,226,4320.476662
2792.578481,226,4349.48435
2811.825859,226,4378.599202
3623.567543,300,4417.022917
2813.89426,226,4445.925944
4072.421664,300,4484.457702
4075.467605,300,4523.196318
3629.563922,300,4561.873657
2800.906486,226,4590.765316
2799.842417,226,4620.13926
2802.23589,226,4649.688689
2810.153787,226,4677.153003
4060.402172,300,4716.248685
3614.160586,300,4755.044319
3630.208496,300,4793.648633
3624.62205,300,4832.3917
2799.449049,226,4861.522033
4065.761684,300,4898.730534
3626.934249,300,4937.931274
4080.263431,300,4976.811209
2785.073623,226,5006.239326
4073.700913,300,5045.041692
3626.426642,300,5082.533926
3619.754084,300,5121.301779
4083.500331,300,5160.332732
4080.789125,300,5199.393114
4073.904598,300,5238.365052
4073.337146,300,5275.857729
3622.085097,300,5313.880784
2781.734324,226,5343.147089
3627.2225,300,5381.63916
4077.719198,300,5420.410272
3615.429225,300,5458.767178
2774.674307,226,5487.304491
3622.949903,300,5525.956251
3626.57063,300,5564.712673
3623.787066,300,5603.117013
3624.461248,300,5641.637951
4083.190788,300,5678.890401
2775.360931,226,5708.228309
4073.082203,300,5747.029452
3619.177072,300,5785.753341
3629.591373,300,5824.373648
3622.438966,300,5863.079725
3630.841631,300,5900.192941
2785.851718,226,5929.919015
2773.474929,226,5959.937057
3626.219076,300,5997.574124
4088.67532,300,6035.256969
3623.315712,300,6071.707633
2781.869778,226,6099.044712
2789.678196,226,6126.250526
2782.396,226,6154.22643
4084.351033,300,6192.255465
3622.159772,300,6228.499804
4089.495491,300,6247.455241
4088.301047,300,6263.928029
2788.038101,226,6276.708262
3619.631803,300,6294.395823
3628.548177,300,6311.250707
3629.083091,300,6327.687175
2791.450656,226,6339.830788
4083.67992,300,6356.177295
3632.126372,300,6372.251487
2775.447056,226,6385.02955
2771.407348,226,6397.342879
4090.159251,300,6413.550867
4077.859768,300,6430.10015
4086.413728,300,6447.355227
4088.550201,300,6464.157645
4093.614433,300,6481.113188
2785.92373,226,6493.468652
2776.015821,226,6506.232609
3636.241742,300,6523.150242
3638.237877,300,6540.174196
3636.400669,300,6556.6875
4086.704735,300,6573.893781
2803.370307,226,6586.518746
2793.626271,226,6599.224552
3628.092148,300,6628.713469
2804.269347,226,6651.578458
2790.712573,226,6674.193762
2906.320711,300,6705.706491
