w_velocity,w_safety,w_comfort,total_energy,energy_per_km,distance_km,rms_jerk,min_thw,avg_thw,avg_velocity,avg_lead_velocity,collision
0.39,0.39,0.22,1774.730352977321,110.91603250580181,16.00066375732422,0.09696158852237732,2.0717785358428955,2.9748332500457764,20.914531707763672,20.9224796295166,False
0.39,0.475,0.135,1778.5234877105904,111.13761980003993,16.002891540527344,0.08663763222169754,2.065034866333008,2.7483134269714355,20.917444229125977,20.9224796295166,False
0.39,0.56,0.05,1780.6174440870084,111.26470217667452,16.003433227539062,0.10023595673220678,2.0565671920776367,2.5604281425476074,20.918153762817383,20.9224796295166,False
0.475,0.05,0.475,1702.9282193375163,107.98146614749132,15.770559310913086,0.10689515436866168,0.8275435566902161,8.099029541015625,20.6137638092041,20.9224796295166,False
0.475,0.135,0.39,1744.2774645215782,109.49412464583995,15.930328369140625,0.11283822505597223,2.0798776149749756,5.01421594619751,20.82259750366211,20.9224796295166,False
0.475,0.22,0.305,1757.726012461849,110.05495800981777,15.971346855163574,0.10766411488010172,2.073504686355591,3.8904030323028564,20.87621307373047,20.9224796295166,False
0.475,0.305,0.22,1766.109860373289,110.47251749629696,15.986869812011719,0.08847844733424558,2.0681235790252686,3.3282859325408936,20.896503448486328,20.9224796295166,False
0.475,0.39,0.135,1773.1736117152534,110.86461137004662,15.994044303894043,0.09050162925010635,2.0622453689575195,2.9805045127868652,20.905879974365234,20.9224796295166,False
0.475,0.475,0.05,1777.1996868351432,111.08966020342815,15.997884750366211,0.10177653297864482,2.0547475814819336,2.7092361450195312,20.910900115966797,20.9224796295166,False
0.56,0.05,0.39,1704.353880639517,108.09712462199838,15.766874313354492,0.10713512422047226,0.580642580986023,7.665821075439453,20.608945846557617,20.9224796295166,False
0.56,0.135,0.305,1743.7800665026837,109.53772251279122,15.91944694519043,0.09625100134199087,2.0518054962158203,4.9536027908325195,20.808374404907227,20.9224796295166,False
0.56,0.22,0.22,1757.6796370570055,110.10683435092794,15.963400840759277,0.08318125320499918,2.0650131702423096,3.8923134803771973,20.865825653076172,20.9224796295166,False
